1;A la Cave… où manger;2.284448;48.889805;restaurant;traditionnel;23 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;http://www.alacaveoumanger.fr/;;;01 47 57 28 55;;;;;;;0;1
2;A la Tentation;2.286143;48.888923;restaurant;traditionnel;21 Rue Marius Aufran;;;92300;;LEVALLOIS-PERRET;;;;;01 41 05 09 53;;;;;;;0;1
3;A Modo Mio;2.2756385999999793;48.8966719;italien;italien;27 Avenue André Malraux;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
4;A Table;2.283240;48.897498;restaurant;traditionnel;43 Rue Baudin;;;92300;;LEVALLOIS-PERRET;;http://www.restaurantatable.fr/;;;01 47 57 23 00;;;;;;;330;1
5;Absolu Café;2.287815;48.895126;restaurant;traditionnel;88 Avenue du Président Wilson;;;92300;;LEVALLOIS-PERRET;;;;;09 54 92 02 66;;;;;;;0;1
6;Ah l'Assiette;2.281664;48.891052;restaurant;traditionnel;17bis Rue Voltaire;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 29 55;;;;;;;0;1
7;Al Vecchio Forno;2.2844473999999764;48.8878039;italien;italien;27 Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;;;;01 72 61 52 33;;;;;;;0;1
8;Alliance Gourmande;2.291378;48.890242;restaurant;traditionnel;25 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;01  47 31 64 50;;;;;;;0;1
9;Ama Dao;2.290081;48.890022;asiatique;vietnamien;65 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;09 82 24 35 43;;;;https://www.facebook.com/pages/AMA-DAO/353899061324583;;;315;1
10;Ambiance d'à Côté;2.282626;48.897669;restaurant;traditionnel;25 Avenue de l'Europe;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 74 94;;;;;;;0;1
11;Anatole;2.286421;48.890713;restaurant;traditionnel;50 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;http://www.restaurantanatole.fr/;;;01 47 57 39 95;;;;;;;0;1
12;Ancora;2.283827;48.899089;italien;italien;34 Rue André Citroën;;;92300;;LEVALLOIS-PERRET;;;;;01 47 48 19 15;;;;;;;135;1
13;Angel's Girl;2.2811924;48.8891539;restaurant;traditionnel;4 Rue Aristide Briand;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 77 36;;;;;;;0;1
14;Asilou Café;2.2817595999999867;48.8960564;brasserie;brasserie;126 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
